date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:56:40	20970/20970	---M--	200	added ('OK')	image/jpeg	etag:%22a3b57578be154c2bdb2fe63a00977f8d%22	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/b731d672bb44.jpg	/home/mm/websites/class_central3/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/b731d672bb44.jpg	(from https://www.classcentral.com/institution/british-council)
06:56:41	14652/14652	---M--	200	added ('OK')	image/jpeg	etag:%2231c603d60023c142e2a2361b663874f0%22	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/fe4bf4766492.jpg	/home/mm/websites/class_central3/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/fe4bf4766492.jpg	(from https://www.classcentral.com/institution/british-council)
06:56:42	18308/18308	---M--	200	added ('OK')	image/jpeg	etag:%2224425cfd5727509b3902017d39bcf738%22	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/1b5a1592dca2.jpg	/home/mm/websites/class_central3/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/1b5a1592dca2.jpg	(from https://www.classcentral.com/institution/british-council)
06:56:43	24014/24014	---M--	200	added ('OK')	image/jpeg	etag:%2221403845e321c717636bfcf18894a030%22	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/e9bca9337565.jpg	/home/mm/websites/class_central3/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/e9bca9337565.jpg	(from https://www.classcentral.com/institution/british-council)
06:56:44	21994/21994	---M--	200	added ('OK')	image/jpeg	etag:%227f26310af613a19dabf8fcaa1e0b2a34%22	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/ed350e511e94.jpg	/home/mm/websites/class_central3/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/ed350e511e94.jpg	(from https://www.classcentral.com/institution/british-council)
06:56:45	24957/24957	---M--	200	added ('OK')	image/jpeg	etag:%2245bceb964f85c370f93cc5a9da2bd310%22	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/bbefa5d8cbae.jpg	/home/mm/websites/class_central3/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/bbefa5d8cbae.jpg	(from https://www.classcentral.com/institution/british-council)
06:56:46	20526/20526	---M--	200	added ('OK')	image/jpeg	etag:%228291b24e87c8cac2833d7aad6d116d4f%22	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/9787e204a205.jpg	/home/mm/websites/class_central3/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/9787e204a205.jpg	(from https://www.classcentral.com/institution/british-council)
06:56:47	29397/29397	---M--	200	added ('OK')	image/jpeg	etag:%222398525a59f2234beb1ed578478d1263%22	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/dbce8fffe627.jpg	/home/mm/websites/class_central3/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/dbce8fffe627.jpg	(from https://www.classcentral.com/institution/british-council)
06:56:48	28183/28183	---M--	200	added ('OK')	image/jpeg	etag:%22a4f40c9ab0aa6dca46c5599774da821c%22	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/99385291cfdc.jpg	/home/mm/websites/class_central3/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/99385291cfdc.jpg	(from https://www.classcentral.com/institution/british-council)
06:56:49	378/378	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2020:26:44%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fgoogle-hz.png?auto=format&blur=200&h=60&ixlib=php-3.3.1&px=16&s=29b3beaaaa6942aa8d80f26e5f22e300	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/google-hzf656.png	(from https://www.classcentral.com/institutions)
06:56:50	481/481	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2022:58:06%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fmicrosoft-hz.png?auto=format&blur=200&h=60&ixlib=php-3.3.1&px=16&s=a7ac1a5468e261c6cd6e0a907cc4f74b	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/microsoft-hz5306.png	(from https://www.classcentral.com/institutions)
06:56:51	323/323	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Mar%202023%2000:22:57%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fibm-hz.png?auto=format&blur=200&h=60&ixlib=php-3.3.1&px=16&s=66a5ac72f2a54422f3b0f94848d8fd60	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/ibm-hzb410.png	(from https://www.classcentral.com/institutions)
06:56:52	396/396	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2015:49:00%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Famazon-hz.png?auto=format&blur=200&h=60&ixlib=php-3.3.1&px=16&s=f793b7fbcf6f16f619e4ba097e07c07e	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/amazon-hz8d58.png	(from https://www.classcentral.com/institutions)
06:56:53	242/242	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2015:49:01%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fproject-network-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=1092e79ba3fdda4341070d90522ffd83	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/project-network-trn-sq1306.png	(from https://www.classcentral.com/institutions)
06:56:54	330/330	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2015:49:02%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Faws-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=f0382a382af259ec2fc81285b255bb88	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/aws-trn-sqd8c4.png	(from https://www.classcentral.com/institutions)
06:56:55	335/335	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2015:49:03%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Famazon-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=88510b76ff9299eb53fcff2daed7052b	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/amazon-trn-sq8adc.png	(from https://www.classcentral.com/institutions)
06:56:56	413/413	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2015:49:04%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fnptel-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=d1519e505c0ef26e07fbcfa2ea6d83b5	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/nptel-trn-sq3e19.png	(from https://www.classcentral.com/institutions)
